state,lga,latitude,longitude,n_wards_averaged
Kano,Ajingi,11.972886289,9.0191942264,10
Kano,Albasu,11.6330991,9.0876330238,10
Kano,Bagwai,12.097691917,8.1253865004,10
Kano,Bebeji,11.55430790142857,8.293858049642857,14
Kano,Bichi,12.23449883181818,8.271755037272728,11
Kano,Bunkure,11.673792213,8.5895251785,10
Kano,Dala,12.000107224999999,8.463564411083334,12
Kano,Dambatta,12.423101343999999,8.6034139787,10
Kano,Dawakin Kudu,11.830173808,8.635665869333334,15
Kano,Dawakin Tofa,12.136279947272728,8.385471589636364,11
Kano,Doguwa,10.805003225,8.6452189806,10
Kano,Fagge,11.98328425,8.5561555932,10
Kano,Gabasawa,12.147401078181819,8.839572953181818,11
Kano,Garko,11.572723071,8.8244080662,10
Kano,Garum Mallam,11.65388302,8.3652762038,10
Kano,Gaya,11.774815223,9.0023231035,10
Kano,Gezawa,12.046041505454546,8.722068746727272,11
Kano,Gwale,11.973518937,8.4881091724,10
Kano,Gwarzo,11.890728508,7.9464272751,10
Kano,Kabo,11.87336639,8.174711204,10
Kano,Kano Municipal,11.943122624615384,8.482404046923078,13
Kano,Karaye,11.760502433,7.9953268516,10
Kano,Kibiya,11.505079665,8.6554658985,10
Kano,Kiru,11.622615212666666,8.1531922206,15
Kano,Kumbotso,11.902918255454546,8.495031935545455,11
Kano,Kunchi,12.43146969,8.2631273987,10
Kano,Kura,11.776743892999999,8.4670460916,10
Kano,Madobi,11.817497479166667,8.365481682833334,12
Kano,Makoda,12.37650498,8.475154449636364,11
Kano,Minjibir,12.168707726363637,8.600665659454545,11
Kano,Nasarawa,12.006068768181818,8.505653577545454,11
Kano,Rano,11.488088175,8.51682898,10
Kano,Rimin Gado,11.9278693325,8.277940892333334,12
Kano,Rogo,11.495656239,7.8232921437,10
Kano,Shanono,12.068921266,7.9637745197,10
Kano,Sumaila,11.350141102727273,8.885658954181817,11
Kano,Takai,11.482876854,9.1426357577,10
Kano,Tarauni,11.958709588,8.5229263095,10
Kano,Tofa,12.012687129333333,8.292936180866667,15
Kano,Tsanyawa,12.246193061,8.0003966749,10
Kano,Tundun Wada,11.273031089090908,8.49570604,11
Kano,Ungogo,12.045085683636364,8.507992186272727,11
Kano,Warawa,11.890735126,8.7501591344,15
Kano,Wudil,11.755648505,8.845952476299999,10
Kwara,Asa,8.41254925582353,4.456138537058823,17
Kwara,Baruten,9.115133954272727,3.234059835818182,11
Kwara,Edu,8.9018054362,5.1809278783,10
Kwara,Ekiti,8.0768491143,5.3291950544,10
Kwara,Ifelodun,8.547436636444445,4.964204667388889,18
Kwara,Ilorin East,8.53768382925,4.68621360575,12
Kwara,Ilorin South,8.435457136,4.687303125272727,11
Kwara,Ilorin West,8.488928616833332,4.545515070416667,12
Kwara,Irepodun,8.167373510272727,4.978189368818182,11
Kwara,Isin,8.255794277,5.047297639090909,11
Kwara,Kaiama,9.5390481869,4.1326539161,10
Kwara,Moro,8.774500730117648,4.579659406,17
Kwara,Offa,8.139201894166666,4.705101533416666,12
Kwara,Oke-Ero,8.1353888377,5.2297545298,10
Kwara,Oyun,8.141048185363637,4.670668324454545,11
Kwara,Pategi,8.6726070499,5.7562696747,10
Osun,Atakumosa East,7.3959221684,4.7956153229,10
Osun,Atakumosa West,7.566810575545454,4.6515684136363635,11
Osun,Ayedaade,7.417400634909091,4.3607876673636365,11
Osun,Ayedire,7.5801352199,4.2467978187,10
Osun,Boluwaduro,7.9292424855,4.8045790931,10
Osun,Boripe,7.874149707181818,4.709446940090909,11
Osun,Ede North,7.708130611181818,4.4747864021818184,11
Osun,Ede South,7.6505201986,4.4594847323,10
Osun,Egbedore,7.7902289648,4.4189277446,10
Osun,Ejigbo,7.870986668,4.278290868636364,11
Osun,Ife East,7.3724180456,4.6078408562,10
Osun,Ife North,7.3442960332,4.4615112396,10
Osun,Ife South,7.219696537454546,4.622197645454546,11
Osun,IfeCentral,7.443540282,4.606860001909091,11
Osun,Ifedayo,7.966805867,5.0076320085,10
Osun,Ifelodun,7.918297508416667,4.666457427416667,12
Osun,Ila,8.009783188181817,4.901614664181818,11
Osun,Ilesha East,7.590490215545454,4.764004640181818,11
Osun,Ilesha West,7.6302503635,4.7354626359,10
Osun,Irepodun,7.828107008181818,4.4983109997272726,11
Osun,Irewole,7.371861108454546,4.192193504363637,11
Osun,Isokan,7.289017286363636,4.189955609909091,11
Osun,Iwo,7.631772601333333,4.169139602133333,15
Osun,Obokun,7.774908478,4.776884995,10
Osun,Odo Otin,8.006395283666667,4.6732222328,15
Osun,Ola-Oluwa,7.7281740728,4.2257436221,10
Osun,Olorunda,7.818770233909091,4.564423910545455,11
Osun,Oriade,7.535832330333333,4.886392141333333,12
Osun,Orolu,7.8684943159000005,4.4817249814,10
Osun,Osogbo,7.743412330933333,4.58172505,15
