location,n_years_used,mean_onset_doy,sd_onset_doy,mean_cessation_doy,sd_cessation_doy,mean_season_length,earliest_normal_onset_doy,latest_normal_onset_doy
"Kano Municipal, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Karaye, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Kibiya, Kano",20,175.9,33.894418108995005,264.25,24.148389943060497,88.35,142.005581891005,209.79441810899502
"Kiru, Kano",20,167.45,33.918594496700166,270.7,24.789853612017623,103.25,133.53140550329982,201.36859449670015
"Kumbotso, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Kunchi, Kano",20,174.7,24.11834855130229,262.9,17.713806687677863,88.2,150.5816514486977,198.81834855130228
"Kura, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Madobi, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Makoda, Kano",20,178.65,19.015990501071517,261.95,17.863444001058344,83.3,159.6340094989285,197.66599050107152
"Minjibir, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Moro, Kwara",20,129.05,19.546099355114308,289,14.850128477204285,159.95,109.5039006448857,148.59609935511432
"Nasarawa, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Obokun, Osun",20,102.9,23.332606504970453,297,13.856406460551018,194.1,79.56739349502955,126.23260650497046
"Odo Otin, Osun",20,94.1,22.33689419111939,298.35,12.877050168910253,204.25,71.7631058088806,116.43689419111939
"Offa, Kwara",20,102.9,23.332606504970453,297,13.856406460551018,194.1,79.56739349502955,126.23260650497046
"Oke-Ero, Kwara",20,102.9,23.332606504970453,297,13.856406460551018,194.1,79.56739349502955,126.23260650497046
"Ola-Oluwa, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Olorunda, Osun",20,94.1,22.33689419111939,298.35,12.877050168910253,204.25,71.7631058088806,116.43689419111939
"Oriade, Osun",20,99.8,27.358439475348657,301.4,15.18794535842575,201.6,72.44156052465134,127.15843947534866
"Orolu, Osun",20,94.1,22.33689419111939,298.35,12.877050168910253,204.25,71.7631058088806,116.43689419111939
"Osogbo, Osun",20,86.75,27.035794986023916,305.4,13.861723140398261,218.65,59.714205013976084,113.78579498602392
"Oyun, Kwara",20,94.1,22.33689419111939,298.35,12.877050168910253,204.25,71.7631058088806,116.43689419111939
"Pategi, Kwara",20,137.65,32.13994890769855,287.5,19.32955195930233,149.85,105.51005109230145,169.78994890769854
"Rano, Kano",20,175.9,33.894418108995005,264.25,24.148389943060497,88.35,142.005581891005,209.79441810899502
"Rimin Gado, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Rogo, Kano",20,167.45,33.918594496700166,270.7,24.789853612017623,103.25,133.53140550329982,201.36859449670015
"Shanono, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Sumaila, Kano",20,175.9,33.894418108995005,264.25,24.148389943060497,88.35,142.005581891005,209.79441810899502
"Takai, Kano",19,174.89473684210526,37.275095553707324,263.94736842105266,22.229794031660717,89.05263157894737,137.61964128839793,212.1698323958126
"Tarauni, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Tofa, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Tsanyawa, Kano",20,177.45,27.31776942423721,265.55,17.27631478734915,88.1,150.13223057576278,204.7677694242372
"Tundun Wada, Kano",20,175.9,33.894418108995005,264.25,24.148389943060497,88.35,142.005581891005,209.79441810899502
"Ungogo, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Warawa, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
"Wudil, Kano",20,182.15,26.974207953836977,261.65,18.06792738528689,79.5,155.17579204616302,209.124207953837
